Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA50,MA200,Daily_return
2002-08-12,28.79417226498404,29.742206222914568,28.79417226498404,29.519140243530277,212976,0.0,0.0,,,
2002-08-13,29.556316086923573,30.03033304428441,28.90570535545041,29.11947631835937,153576,0.0,0.0,,,-1.3539145174070621
2002-08-14,29.184536031350767,29.184536031350767,26.563503316890145,27.11187744140625,822776,0.0,0.0,,,-6.894350897675183
2002-08-15,27.111877441406246,27.111877441406246,27.111877441406246,27.11187744140625,0,0.0,0.0,,,0.0
2002-08-16,26.97245769500468,28.255088884805893,26.58209020083713,27.04681205749512,811856,0.0,0.0,,,-0.23998848494261038
2002-08-19,27.269875710703477,27.269875710703477,26.12666117309251,26.377609252929688,205880,0.0,0.0,,,-2.47423911972644
2002-08-20,26.563503316890145,28.794168491260905,26.386909557873285,27.11187744140625,3773624,0.0,0.0,,,2.7836798302522725
2002-08-21,28.60826239727888,29.147341189734043,27.15833318138227,28.440963745117188,3011064,0.0,0.0,,,4.902228945905129
2002-08-22,29.37972042857498,30.9133027686928,29.231008846488177,29.667848587036133,6732480,0.0,0.0,,,4.3137948942731486
2002-08-23,29.928077365037947,32.43757453539827,29.56559500771757,31.452363967895508,4841672,0.0,0.0,,,6.014980748011323
2002-08-26,31.95427183868071,32.15875057808726,31.089890371012103,31.34084129333496,2576912,0.0,0.0,,,-0.3545764467001056
2002-08-27,31.60108430685463,32.90230542537218,30.29986318833709,30.56010627746582,3694224,0.0,0.0,,,-2.491110588135914
2002-08-28,30.46717563434304,30.931897671696884,29.955981393253804,30.58800506591797,1674960,0.0,0.0,,,0.09129152954785447
2002-08-29,30.402116250976427,31.136376502707865,30.299876835470936,30.58800506591797,1236544,0.0,0.0,,,0.0
2002-08-30,30.68093882673588,33.55291945368338,30.67164382192664,32.753597259521484,3762384,0.0,0.0,,,7.079873920958901
2002-09-02,33.27407686897878,34.184930352605306,32.753587948433726,33.08818817138672,2389568,0.0,0.0,,,1.0215394334067263
